,name,born,proven_victims,estimated_victims,zodiac_sign
486,"Smith, William Scott",4/29/1959,4,4+,taurus
487,"Snyder, Leroy",2/13/1931,7,7,aquarius
488,"Solomon Jr., Morris",3/15/1944,6,7,pisces
489,"Soper, Edward Bates",1855-02-07,5,5,aquarius
490,"Southard, Lyda",1892-10-16,6,6,libra
491,"Sowell, Anthony",8/19/1959,11,11,leo
492,"Spangler, Robert",1/10/1933,4,4,capricorn
493,"Spencer, Timothy Wilson",3/17/1962,4,5,pisces
494,"Spillman, Jack Owen",8/30/1969,3,3,virgo
495,"Spisak, Frank",6/6/1951,3,3,gemini
496,"Spreitzer, Edward",11/30/1953,18,18,sagittarius
497,"Stano, Gerald",9/12/1951,22,41+,virgo
498,"Stayner, Cary",8/13/1961,4,4,leo
499,Steven Stayner,4/18/1965,4,4,aries
500,"Stevens, Charles",3/19/1969,4,4,pisces
501,"Stickles, Martin",1870-02-07,3,3,aquarius
502,"Stokes, Winford",3/21/1951,3,3,aries
503,"Suff, William",8/20/1950,12,22,leo
504,"Sully, Anthony",1/2/1944,6,6,capricorn
505,"Sumpter, Michael",9/26/1947,3,3,libra
506,"Surratt, Edward Arthur",8/8/1941,7,18+,leo
507,"Sutton, Nicholas Todd",7/15/1961,4,4,cancer
508,"Swango, Michael",10/21/1954,4,60,libra
509,"Taborsky, Joseph ""Mad Dog""",3/23/1924,7,7,aries
510,"Taylor, Kevin",6/11/1974,4,4,gemini
511,"Terry, Charles E.",5/26/1930,1,4+,gemini
512,"Thomas Jr., John Floyd",7/26/1936,7,15+,leo
513,"Thompson, William Paul",5/2/1938,3,6,taurus
514,"Tinning, Marybeth",9/11/1942,2,9,virgo
515,"Toole, Ottis",3/5/1947,6,6+,pisces
516,Henry Lee Lucas,8/23/1936,6,6+,virgo
517,Adam Walsh,11/14/1974,6,6+,scorpio
518,"Toppan, Jane",10/29/1901,12,31+,scorpio
519,"Torrence, Michael",4/15/1961,3,3,aries
520,"Ture Jr., Joseph",2/7/1951,6,7+,aquarius
521,"Turner, Chester",11/5/1966,15,16,scorpio
522,"Urdiales, Andrew",6/4/1964,8,8,gemini
523,"Vann, Darren Deon",3/21/1971,7,7+,aries
524,"Vaultz, Horace Van",5/21/1955,3,3+,gemini
525,"Wade, Joshua",3/13/1980,5,5+,pisces
526,"Walker, Anthony Guy",7/11/1957,6,6+,cancer
527,"Wallace, Henry Louis",11/4/1965,11,11,scorpio
528,"Walls, Frank Athen",10/12/1967,5,5,libra
529,"Wardrip, Faryion",3/6/1959,5,5,pisces
530,"Warren, Edward Delon",1953,3,3,
531,"Watson, Alexander Wayne",9/24/1969,4,4,libra
532,"Watts, Carl Eugene",11/7/1953,22,100,scorpio
533,"Wheeler-Weaver, Khalil",4/20/1996,3,4,taurus
534,"Whisenhant, Thomas",1/29/1947,4,4+,aquarius
535,"White, Larry Lamont",3/30/1958,3,3,aries
536,"White, Nathaniel",7/28/1960,6,6,leo
537,"Whitten, Hattie",1862-07-24,3,3,leo
538,"Wickline, William",3/15/1952,3,3+,pisces
539,"Wilder, Christopher",3/13/1945,8,15,pisces
540,"Wiley, Nicholas",7/17/1962,3,7,cancer
541,"Williams, Dorothy",12/12/1954,3,3,sagittarius
542,"Williams, Kenneth Dewayne",2/23/1979,4,4,pisces
543,"Williams, Leslie Allen",7/4/1953,4,4,cancer
544,"Williams, Scott",12/3/1963,3,3,sagittarius
545,"Williams, Wayne",5/27/1958,2,23,gemini
546,"Williamson, Thomas Andrew",1831-04-23,4,4,taurus
547,"Willie, Robert Lee",1/2/1958,3,5,capricorn
548,"Wimberly, Anthony",10/26/1962,3,3,scorpio
549,"Winters, Shirley",2/27/1958,2,7,pisces
550,"Wise, Martha",1925,3,3,
551,"Wood, Cathy",8/6/1963,5,6,leo
552,Gwendolyn Graham,8/6/1963,5,6,leo
553,"Wood, David Leonard",6/20/1957,6,9,gemini
554,"Woodfield, Randall",12/26/1950,18,44,capricorn
555,"Wright, Douglas Franklin",3/25/1940,7,7+,aries
556,"Wuornos, Aileen",2/29/1956,7,7,pisces
557,"Yates, Robert Lee",5/27/1952,13,18+,gemini
558,"Zarinsky, Robert",9/2/1940,2,10,virgo
